SmaWindow,FinalCapital,MaxDrawdown,SharpeRatio
2,2901764.72,0.652704,0.751258
3,1472279.39,0.658195,0.397911
4,2011397.76,0.482855,0.577641
5,1700074.24,0.669848,0.471148
6,3430350.55,0.489196,0.874451
7,2956681.73,0.656348,0.788799
8,1740670.87,0.666550,0.497937
9,1776147.13,0.702148,0.497731
10,1855483.93,0.567480,0.529257
11,2704789.60,0.546437,0.720638
12,1973980.02,0.577620,0.548680
13,4354877.61,0.412485,0.971819
14,2136286.49,0.661363,0.594283
15,1729829.45,0.670960,0.485271
16,2487607.65,0.422937,0.743899
17,1770453.29,0.731461,0.500246
18,1351623.70,0.830693,0.359638
19,2787425.89,0.752177,0.748526
20,1793603.00,0.744392,0.519463
