ShortWindow,LongWindow,FinalCapital,MaxDrawdown,SharpeRatio
5,20,7854481.87,0.425006,1.319087
5,30,8296170.44,0.396234,1.383542
5,40,8157015.41,0.381243,1.384209
5,50,8499389.85,0.374145,1.418546
5,60,9288616.72,0.368630,1.455563
5,70,8503799.48,0.355945,1.437774
5,80,8531555.11,0.359807,1.435540
5,90,8313743.08,0.367928,1.417688
5,100,8252173.62,0.380346,1.406000
5,110,8332343.01,0.394568,1.398839
5,120,8496232.54,0.409396,1.394386
5,130,7935395.60,0.406666,1.380826
5,140,7662386.02,0.407421,1.376771
5,150,7347641.89,0.407088,1.365401
5,160,6898635.11,0.404203,1.344430
5,170,6585480.37,0.405230,1.333685
5,180,5993168.66,0.399854,1.304039
5,190,5423179.60,0.398338,1.271463
5,200,5436974.01,0.404486,1.270294
10,20,7073071.47,0.405164,1.302701
10,30,7997823.91,0.404763,1.372135
10,40,7338857.54,0.364016,1.366934
10,50,7096976.91,0.332940,1.391464
10,60,8562532.00,0.360610,1.436085
10,70,8775981.91,0.362507,1.444570
10,80,9100176.71,0.362581,1.458626
10,90,9059208.01,0.378855,1.438616
10,100,8556150.90,0.383953,1.415246
10,110,8355046.88,0.398758,1.394126
10,120,8532048.58,0.414372,1.389070
10,130,8059503.22,0.410045,1.380933
10,140,7659818.98,0.406710,1.376394
10,150,7318775.36,0.406298,1.364648
10,160,6830758.76,0.404354,1.340104
10,170,6177374.18,0.402960,1.306864
10,180,5859357.77,0.399061,1.295981
10,190,5377160.58,0.396527,1.268316
10,200,5211175.88,0.399713,1.259164
15,20,8930946.53,0.454683,1.346727
15,30,7322656.45,0.392606,1.346366
15,40,6726139.35,0.351768,1.345219
15,50,7081812.18,0.337789,1.382842
15,60,8880043.96,0.366203,1.437835
15,70,9326574.07,0.370561,1.456119
15,80,8820669.86,0.358790,1.448909
15,90,9296010.38,0.377276,1.449160
15,100,8677109.49,0.380630,1.419955
15,110,8796260.78,0.402635,1.407634
15,120,8715842.95,0.414251,1.396865
15,130,8094473.53,0.405938,1.387005
15,140,7663420.10,0.405689,1.373662
15,150,7177753.19,0.406117,1.355866
15,160,6739975.90,0.404486,1.335008
15,170,6165119.05,0.401972,1.309011
15,180,5685860.73,0.399419,1.282475
15,190,5417776.74,0.400228,1.268729
15,200,5202845.14,0.406182,1.251759
20,30,7438143.15,0.393177,1.345108
20,40,6431750.55,0.348479,1.329696
20,50,6756413.66,0.336696,1.361274
20,60,8920952.42,0.369361,1.434957
20,70,9698249.50,0.379062,1.459531
20,80,8610057.36,0.360501,1.441367
20,90,8414147.05,0.364841,1.424825
20,100,8260185.48,0.372336,1.412001
20,110,8723739.12,0.402479,1.403411
20,120,8631857.00,0.409858,1.399182
20,130,8120528.05,0.405889,1.387516
20,140,7533263.44,0.404120,1.370960
20,150,7190803.19,0.406218,1.357608
20,160,6963786.08,0.406453,1.346995
20,170,6607348.72,0.407066,1.331007
20,180,6075563.24,0.406309,1.303378
20,190,5635059.62,0.406499,1.277168
20,200,5523671.63,0.417068,1.267614
25,30,6872462.28,0.381184,1.314587
25,40,6786723.99,0.361896,1.340820
25,50,6700655.33,0.336200,1.356167
25,60,9004866.45,0.369339,1.436518
25,70,9469660.51,0.378760,1.456698
25,80,8463433.82,0.361389,1.437417
25,90,7896097.91,0.359326,1.406361
25,100,7831519.08,0.364572,1.403405
25,110,8492460.25,0.404780,1.389209
25,120,8187446.90,0.406136,1.380566
25,130,7640961.13,0.402826,1.369602
25,140,7253820.70,0.402966,1.359161
25,150,7125774.96,0.406186,1.352997
25,160,6854103.13,0.406874,1.338408
25,170,6613353.97,0.411757,1.325302
25,180,6424808.77,0.413304,1.319124
25,190,5936122.89,0.417202,1.289152
25,200,5546106.46,0.420859,1.264676
30,40,7401028.39,0.384032,1.347853
30,50,6770301.44,0.337140,1.360663
30,60,8928988.59,0.369121,1.434627
30,70,9539509.29,0.386530,1.449157
30,80,8621686.46,0.375760,1.427137
30,90,7629958.12,0.361521,1.398736
30,100,7404009.38,0.366655,1.382677
30,110,8225529.43,0.402254,1.383241
30,120,7953898.49,0.408117,1.370012
30,130,7428517.07,0.402218,1.356661
30,140,7109038.47,0.401804,1.354674
30,150,6917819.03,0.405680,1.344028
30,160,6786549.37,0.410757,1.329209
30,170,6583786.46,0.417266,1.317057
30,180,6397350.14,0.421098,1.309701
30,190,6205250.33,0.424847,1.300725
30,200,5625133.57,0.426329,1.262771
35,40,8031571.94,0.404851,1.360464
35,50,7076149.99,0.345236,1.368916
35,60,8620162.68,0.375650,1.422880
35,70,9085433.07,0.385827,1.435188
35,80,8920593.07,0.390270,1.422007
35,90,7602151.38,0.369994,1.385589
35,100,7003559.64,0.370005,1.353993
35,110,7856246.70,0.401373,1.370207
35,120,7645930.28,0.408811,1.358436
35,130,7065000.15,0.398825,1.342736
35,140,6895735.85,0.401737,1.340082
35,150,6860239.16,0.408243,1.338173
35,160,6844541.90,0.416918,1.329024
35,170,6508806.40,0.421327,1.308059
35,180,6608800.26,0.431264,1.313017
35,190,6317684.19,0.430671,1.300118
35,200,5478071.13,0.427075,1.253100
40,50,7482693.11,0.362862,1.374835
40,60,9072504.20,0.393542,1.425467
40,70,9582963.95,0.406022,1.435683
40,80,8638394.54,0.393761,1.411958
40,90,7473444.00,0.380862,1.368338
40,100,7110003.49,0.383677,1.346544
40,110,7708840.07,0.404556,1.361773
40,120,7569102.72,0.412248,1.350736
40,130,6996613.52,0.399341,1.336002
40,140,6853712.48,0.404247,1.333194
40,150,6801257.72,0.412873,1.328408
40,160,6744569.87,0.418530,1.321657
40,170,6715813.19,0.430083,1.312453
40,180,6425528.28,0.429158,1.302522
40,190,6041920.77,0.430026,1.283758
40,200,5142191.56,0.429786,1.223155
45,50,8611810.21,0.387958,1.399783
45,60,9674257.36,0.413378,1.423258
45,70,9653732.66,0.418643,1.425353
45,80,8597611.86,0.407150,1.396888
45,90,6761525.89,0.383852,1.326549
45,100,7164490.51,0.397056,1.340115
45,110,7519126.82,0.406612,1.347418
45,120,7325531.54,0.409781,1.340646
45,130,6784865.57,0.398782,1.323712
45,140,6857225.75,0.409298,1.326244
45,150,6800839.36,0.415223,1.325823
45,160,6684447.55,0.422102,1.314575
45,170,6662457.97,0.432189,1.305067
45,180,6211157.26,0.430436,1.284026
45,190,5767091.03,0.430075,1.262434
45,200,5110999.35,0.433877,1.218018
50,60,9921030.78,0.430421,1.409538
50,70,10060355.24,0.435616,1.414331
50,80,8463280.00,0.422726,1.366672
50,90,7079858.01,0.400552,1.330025
50,100,7185500.26,0.408277,1.328302
50,110,7300252.02,0.412035,1.332927
50,120,7072913.16,0.414676,1.322967
50,130,6749492.91,0.402745,1.317286
50,140,6727098.07,0.409732,1.319212
50,150,6660126.89,0.415921,1.316143
50,160,6607332.88,0.423770,1.306479
50,170,6544419.81,0.435364,1.294402
50,180,6148592.98,0.435025,1.275417
50,190,5465212.75,0.435046,1.232954
50,200,4992061.08,0.433726,1.205397
