BollingerWindow,RSIPeriod,FinalCapital,MaxDrawdown,SharpeRatio
10,10,3446883.97,0.418684,0.878096
10,15,808743.86,0.638319,0.074424
10,20,2378044.17,0.629978,0.642088
10,25,2922795.97,0.553955,0.811263
10,30,1784656.81,0.553955,0.510959
15,10,2044462.40,0.411536,0.591093
15,15,1397749.67,0.364636,0.374737
15,20,2092824.98,0.710270,0.570288
15,25,4441775.71,0.448678,0.977571
15,30,1773210.82,0.553955,0.509789
20,10,4289730.15,0.517521,0.985251
20,15,2631791.72,0.357429,0.768048
20,20,2039731.22,0.702034,0.560155
20,25,4457729.78,0.646874,0.952690
20,30,2127328.72,0.410570,0.667949
25,10,1263452.56,0.733918,0.326328
25,15,319297.06,0.769486,-0.365909
25,20,1642992.88,0.696054,0.455876
25,25,4306734.68,0.311513,1.122706
25,30,2257862.74,0.410570,0.707734
30,10,1020632.62,0.768699,0.226674
30,15,1584164.04,0.357429,0.454403
30,20,1584209.62,0.712693,0.446605
30,25,3727427.91,0.677856,0.886291
30,30,2398251.43,0.410568,0.754519
35,10,625729.61,0.735836,-0.049967
35,15,1463667.81,0.357429,0.407644
35,20,1604469.37,0.708890,0.457216
35,25,3037117.36,0.637388,0.836973
35,30,4963040.57,0.410568,1.144505
40,10,549218.95,0.750695,-0.120902
40,15,2255428.00,0.309481,0.707800
40,20,985085.24,0.698577,0.195773
40,25,3276331.35,0.637382,0.885379
40,30,5000995.01,0.410569,1.151598
45,10,990323.05,0.746854,0.197639
45,15,1067784.53,0.444306,0.211572
45,20,721122.57,0.726710,0.040447
45,25,2903050.91,0.637385,0.867259
45,30,3724159.11,0.311564,1.039693
50,10,1064088.06,0.749030,0.220613
50,15,1659001.92,0.439491,0.475998
50,20,818996.93,0.726776,0.104634
50,25,2244640.79,0.637385,0.687088
50,30,3406818.23,0.311556,1.007467
